timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1775845130678,0.75350404,-0.57570404,0.16591471,0.0012698935,-0.011925728,0.9957648,0.09115221
1775845130688,0.7497194,-0.5798553,0.16591261,-0.0005154476,-0.0093396995,0.9955273,0.09400987
1775845130698,0.7458931,-0.58399636,0.16561365,0.0002985285,-0.009575296,0.99522775,0.09710824
1775845130709,0.7420285,-0.58797395,0.1657937,0.0015628377,-0.00933722,0.9950755,0.098666474
1775845130723,0.7381617,-0.59206915,0.16568217,-0.000108811364,-0.009787749,0.9949164,0.10022735
1775845130729,0.73431444,-0.5960222,0.16555953,-0.00031401956,-0.012178181,0.9946861,0.10223107
1775845130737,0.73043615,-0.5998137,0.16559185,0.0037930172,-0.013117965,0.99442255,0.104580685
1775845130747,0.7264658,-0.6035635,0.16550411,0.0016963789,-0.014379216,0.9941259,0.10725639
1775845130759,0.7224344,-0.60775334,0.16515853,-0.0012436864,-0.009737445,0.9939736,0.10917917
1775845130768,0.7184801,-0.61176574,0.16488378,-0.000897466,-0.011524518,0.99373496,0.11116337
1775845130777,0.71447605,-0.6157339,0.16472234,-0.00038491958,-0.013105032,0.9934248,0.11373359
1775845130788,0.71033055,-0.61957127,0.16496281,-0.0017330477,-0.014348759,0.99326396,0.11496913
1775845130797,0.7062402,-0.62357444,0.16472162,-0.0010791302,-0.01496205,0.9929573,0.11751951
1775845130807,0.7021554,-0.62747604,0.16464207,0.000025619507,-0.012644277,0.9926846,0.12007242
1775845130817,0.6981314,-0.6313636,0.16457982,-0.0006478916,-0.013061397,0.9923044,0.12313057
1775845130828,0.69408774,-0.63538957,0.16448912,-0.000509044,-0.014122629,0.9919528,0.12581731
1775845130837,0.6899721,-0.6392803,0.16450632,0.00041443857,-0.016041249,0.9918149,0.12667207
1775845130847,0.6856148,-0.64306825,0.1645131,0.00033639587,-0.014005905,0.9913037,0.13084617
1775845130857,0.68136376,-0.6470627,0.16438164,0.0016759523,-0.013048918,0.990974,0.13340734
1775845130868,0.67725646,-0.65090036,0.16417354,0.00018786409,-0.012929385,0.99070245,0.13543051
1775845130879,0.67286,-0.65478516,0.16382554,0.0019239977,-0.017986555,0.9903484,0.13741454
1775845130887,0.66847265,-0.65850675,0.16368268,-0.0015776734,-0.01643745,0.9901824,0.13880265
1775845130897,0.6639719,-0.6622156,0.16370206,0.0006127863,-0.017026652,0.9897116,0.14205895
1775845130907,0.65944606,-0.6660324,0.16368802,0.0003526795,-0.017929412,0.98954356,0.14311534
1775845130917,0.65501726,-0.66970944,0.16360568,-0.00091442675,-0.015659552,0.9892945,0.14508729
1775845130927,0.6506331,-0.67340225,0.16362113,0.001184672,-0.017663036,0.98866063,0.14912018
1775845130938,0.6461982,-0.6768543,0.16363989,-0.00041257893,-0.019162778,0.9884132,0.15057227
1775845130947,0.6416431,-0.6802684,0.1635178,-0.003743134,-0.02065075,0.98792756,0.1534889
1775845130958,0.63747245,-0.68422264,0.16330218,-0.0021828322,-0.013394091,0.98769754,0.15578641
1775845130968,0.6330778,-0.6878575,0.16339841,-0.002310761,-0.017424617,0.98750955,0.15657529
1775845130977,0.6286608,-0.6913072,0.1634095,-0.0013984321,-0.0153097985,0.9870863,0.15945032
1775845130989,0.62445617,-0.69489396,0.16323557,0.0012463963,-0.018740755,0.9865359,0.16246295
1775845130997,0.62014097,-0.69835246,0.16329184,0.0006246215,-0.017815853,0.98605645,0.16545309
1775845131007,0.61572665,-0.701848,0.1633287,0.00091826904,-0.016580742,0.9854064,0.16940631
1775845131017,0.61130977,-0.7053096,0.1632679,-0.0001978371,-0.018762007,0.98529196,0.16984582
1775845131027,0.6068838,-0.7085817,0.16312152,-0.00065548357,-0.017340511,0.98508525,0.17118964
1775845131037,0.6025139,-0.7120869,0.16303466,-0.0004716728,-0.015184053,0.98477954,0.17314276
1775845131048,0.5980259,-0.71531254,0.16308385,-0.0018916569,-0.015706927,0.9843394,0.17557237
1775845131057,0.593576,-0.7188285,0.16291827,0.00012283618,-0.018759405,0.9835855,0.17946464
1775845131070,0.589107,-0.7223761,0.16269414,-0.0001270262,-0.018930253,0.9826597,0.1844492
1775845131078,0.58455855,-0.72569394,0.16264962,0.00008136801,-0.01841623,0.9827671,0.18392849
1775845131088,0.5799177,-0.7288986,0.16269802,0.0010510857,-0.019317215,0.9823229,0.18619221
1775845131100,0.5752939,-0.73226994,0.16250253,-0.000034133835,-0.020990448,0.981783,0.18884301
1775845131108,0.57066935,-0.73546404,0.1625454,-0.000037128437,-0.021832898,0.98137265,0.19086938
1775845131119,0.56588316,-0.7387303,0.16229312,-0.0009283151,-0.022875682,0.98096526,0.19282886
1775845131128,0.56110644,-0.7421975,0.16187738,0.0006198705,-0.018443644,0.9802789,0.1967556
1775845131137,0.5563122,-0.74539834,0.16167155,0.0008446435,-0.020002427,0.9796902,0.1995153
1775845131148,0.55136937,-0.7484096,0.1615948,0.0024567258,-0.020365411,0.97927094,0.20151335
1775845131159,0.54654247,-0.7516369,0.16140635,-0.0000032324972,-0.02164812,0.978862,0.20337309
1775845131168,0.5415846,-0.7541586,0.16155495,-0.0011952565,-0.017890744,0.9785459,0.20524691
1775845131178,0.5367733,-0.75743866,0.16175398,0.00037045046,-0.01934618,0.9777736,0.20876835
1775845131188,0.5317727,-0.7604856,0.1617704,0.00007482978,-0.018138332,0.9773967,0.21063371
1775845131200,0.5269393,-0.76329964,0.16179883,-0.0016015742,-0.018347746,0.97702044,0.21234843
